ICAO_Code,FAA_Designator,Manufacturer,Model_FAA,Model_BADA,Physical_Class_Engine,Num_Engines,AAC,AAC_minimum,AAC_maximum,ADG,TDG,Approach_Speed_knot,Approach_Speed_minimum_knot,Approach_Speed_maximum_knot,Wingspan_ft_without_winglets_sharklets,Wingspan_ft_with_winglets_sharklets,Length_ft,Tail_Height_at_OEW_ft,Wheelbase_ft,Cockpit_to_Main_Gear_ft,Main_Gear_Width_ft,MTOW_lb,MALW_lb,Main_Gear_Config,ICAO_WTC,Parking_Area_ft2,Class,FAA_Weight,CWT,One_Half_Wake_Category,Two_Wake_Category_Appx_A,Two_Wake_Category_Appx_B,Rotor_Diameter_ft,SRS,LAHSO,FAA_Registry,Registration_Count,Total_IFR_Operations_2021_2022,Remarks,,,,,,,,,,,,,,,,
A343,A343,AIRBUS,Airbus A340-300,Airbus A340-313,Jet,4,D,,,V,5,145,,,197.8,,209.0,55.7,83.3,97.3,41.4,"609,578","423,288",2D/D1,Heavy,"44,467.3",Fixed-wing,Heavy,B,B,B,A,,III,9,Yes,1,"22,390",,,,,,,,,,,,,,,,,
A345,A345,AIRBUS,Airbus A340-500,Airbus A340-541,Jet,4,D,,,V,6,146,,,208.2,,222.9,57.5,90.5,104.2,41.4,"837,756","542,337",2D/2D1,Heavy,"49,714.4",Fixed-wing,Heavy,B,B,B,A,,III,9,No,0,158,,,,,,,,,,,,,,,,,
A346,A346,AIRBUS,Airbus A340-600,Airbus A340-642,Jet,4,D,,,V,6,153,,,208.2,,247.2,58.8,107.9,121.6,41.4,"837,756","584,225",2D/2D1,Heavy,"55,031.2",Fixed-wing,Heavy,B,B,B,A,,III,9,No,0,"3,639",,,,,,,,,,,,,,,,,
A359,A359,AIRBUS,Airbus 350-900,Airbus A350-941,Jet,2,C,,,V,5,140,,,212.4,,219.2,57.3,94.1,99.3,42.2,"617,295","456,357",2D,Heavy,"49,856.9",Fixed-wing,Heavy,B,B,B,A,,III,10,Yes,28,"161,156",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
A35K,A35K,AIRBUS,Airbus A350-1000 XWB,Airbus A350-1041,Jet,2,D,,,VI,6,154,,,212.4,,242.1,57.1,106.6,111.8,42.1,"696,661","513,677",3D,Heavy,"54,952.8",Fixed-wing,Heavy,D,B,G,G,,III,9,No,0,"49,232",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
A388,A388,AIRBUS,Airbus A380-800,Airbus A380-841,Jet,4,C,,,VI,6,138,,,261.7,,238.6,79.0,106.1,112.5,47.1,"1,267,658","868,621",2D/3D2,Super,"66,179.4",Fixed-wing,Super,A,A,A,A,,III,10,No,0,"16,685",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
A400,A400,AIRBUS,Airbus A400M Atlas,Airbus A-400M,Turboprop,4,C,,,IV,3,130,,,139.1,,148.0,47.9,44.0,51.8,26.0,"310,852","271,166",3D,Heavy,"22,812.3",Fixed-wing,Heavy,D,C,G,G,,III,N/A,No,0,"2,656",,,,,,,,,,,,,,,,,
A5,A5,ICON,Icon A-5,Icon A-5,Piston,1,A,,,I,1A,59,,,34.8,,23.0,8.1,6.6,6.6,5.3,"1,510","1,510",S,Light,"1,254.4",Amphibian,Small,I,F,F,F,,I,1,Yes,137,16,,,,,,,,,,,,,,,,,
AA1,AA1,GRUMMAN AMERICAN,Grumman American AA1,Grumman American AA-1 Yankee,Piston,1,A,,,I,1A,69,,,24.4,,19.3,6.7,4.1,4.1,6.6,"1,500","1,500",S,Light,834.6,Fixed-wing,Small,I,F,F,F,,I,1,Yes,722,762,,,,,,,,,,,,,,,,, 
AA5,AA5,GRUMMAN AMERICAN,Grumman American AA5,Grumman American AA-5 Cheetah,Piston,1,A,,,I,1A,69,,,31.4,,22.0,8.0,5.6,5.6,8.8,"2,200","2,200",S,Light,"1,118.3",Fixed-wing,Small,I,F,F,F,,I,1,Yes,"1,729","18,094",,,,,,,,,,,,,,,,,
AC11,AC11,ROCKWELL,Rockwell Commander 112,Rockwell Commander 115,Piston,1,A,,,I,1A,70,,,32.8,,24.9,8.4,6.8,6.8,11.8,"3,250","3,140",S,Light,"1,279.7",Fixed-wing,Small,I,F,F,F,,I,2,Yes,298,"6,632",,,,,,,,,,,,,,,,,
AC50,AC50,AERO,Aero Commander 500,Aero Commander 500,Piston,2,A,,,II,1A,77,,,49.0,,36.8,14.5,14.0,7.9,12.9,"6,000","4,300",S,Light,"2,466.8",Fixed-wing,Small,I,F,F,F,,II,3,Yes,169,"34,313",,,,,,,,,,,,,,,,,
AC56,AC56,AERO,Aero Commander 560,Aero Commander 560,Piston,2,B,,,II,1A,97,,,49.0,,36.8,14.5,16.7,16.7,12.9,"6,000","4,300",S,Light,"2,468.5",Fixed-wing,Small,I,F,F,F,,II,4,Yes,24,22,,,,,,,,,,,,,,,,,
AC68,AC68,AERO,Aero Commander 680FP,Aero Commander 680 Super,Piston,2,B,,,II,1A,97,,,49.5,,35.1,14.5,14.0,14.0,12.9,"8,500","8,500",S,Light,"2,386.0",Fixed-wing,Small,I,F,F,F,,II,5,Yes,38,338,,,,,,,,,,,,,,,,,
AC6L,AC6L,AERO,Aero Commander 680FL,Aero Commander 685,Piston,2,B,,,II,2A,98,,,44.1,,43.0,15.0,16.7,16.7,15.4,"9,000","9,000",S,Light,"2,595.8",Fixed-wing,Small,I,F,F,F,,II,6,Yes,16,336,,,,,,,,,,,,,,,,,
AC80,AC80,ROCKWELL,Rockwell Commander Turbo 680,Rockwell Turbo Commander 680,Turboprop,2,B,,,II,1A,97,,,46.7,,41.5,14.5,16.7,16.7,12.9,"8,950","8,500",S,Light,"2,635.4",Fixed-wing,Small,I,F,F,F,,II,4,Yes,1,562,,,,,,,,,,,,,,,,,
AC90,AC90,GULFSTREAM AEROSPACE-ROCKWELL,Gulfstream 690 Commander 690,Rockwell Commander 690,Turboprop,2,B,,,I,2A,97,,,52.1,,44.4,15.0,17.8,17.8,15.4,"10,325","9,675",S,Light,"3,064.6",Fixed-wing,Small,I,F,F,F,,II,4,Yes,179,"18,844",,,,,,,,,,,,,,,,,
AC95,AC95,GULFSTREAM AEROSPACE-ROCKWELL,Gulfstream Jetprop Commander 1000,Rockwell Jetprop Commander 980,Turboprop,2,B,,,II,2A,100,,,52.1,,43.0,15.0,17.8,17.8,15.4,"10,325","9,675",S,Light,"2,979.6",Fixed-wing,Small,I,F,F,F,,II,6,No,0,"8,292",,,,,,,,,,,,,,,,,
AEST,AEST,PIPER,Piper Aero Star,Piper Aerostar,Piston,2,B,,,I,1A,96,,,36.7,,34.8,12.7,11.7,8.9,10.2,"6,315","6,000",S,Light,"1,859.1",Fixed-wing,Small,I,F,F,F,,II,5,Yes,185,"22,564",,,,,,,,,,,,,,,,,
AN12,AN12,ANTONOV,Antonov AN-12,Antonov AN-12,Turboprop,4,C,,,IV,2B,127,,,124.8,,111.6,34.6,38.2,41.7,15.6,"134,482","127,868",2D,Medium,"15,717.7",Fixed-wing,Large,F,D,D,C,,III,N/A,No,0,"2,871",,,,,,,,,,,,,,,,,
AN72,AN72,ANTONOV,Antonov AN-74-100/200,Antonov AN-72,Jet,2,B,,,III,1B,100,,,104.6,,92.1,28.4,26.7,29.0,13.6,"76,060","72,753",2S,Medium,"11,130.1",Fixed-wing,Large,F,D,D,C,,III,N/A,No,0,4,,,,,,,,,,,,,,,,,
AR11,AR11,AERONCA,Aeronca 11 Chief,Aeronca 11 Chief,Piston,1,A,,,I,1A,49,,,36.0,,20.8,6.8,15.8,15.8,6.9,"1,250","1,250",S,Light,"1,188.2",Fixed-wing,Small,I,F,F,F,,I,1,Yes,762,0,,,,,,,,,,,,,,,,,
ASTR,ASTR,IAI,IAI Astra 1125,IAI 1125 Astra,Jet,2,B,,,II,1B,120,,,52.7,,55.6,18.2,24.1,25.0,12.0,"23,500","20,700",D,Medium,"3,796.5",Fixed-wing,Small+,H,F,E,E,,III,7,Yes,45,"36,007",,,,,,,,,,,,,,,,,
AT3T,AT3T,AIR TRACTOR,Air Tractor AT-402,Air Tractor AT-302/400/402,Turboprop,1,A,,,II,1B,74,,,51.1,,30.6,9.5,28.1,28.1,9.5,"9,170","7,000",S,Light,"2,173.2",Fixed-wing,Small,I,F,F,F,,I,N/A,Yes,180,40,,,,,,,,,,,,,,,,,
AT43,AT43,ATR,ATR 42-300/320,ATR 42-300,Turboprop,2,B,,,III,2A,104,,,80.7,,74.4,24.9,28.8,28.8,15.0,"36,825","36,160",D,Medium,"7,193.8",Fixed-wing,Large,G,E,D,D,,III,3,Yes,23,"86,048",,,,,,,,,,,,,,,,,
AT44,AT44,ATR,ATR-42-400,ATR 42-400,Turboprop,2,B,,,III,2A,104,,,80.7,,74.4,24.9,28.8,28.8,15.0,"36,817","36,156",D,Medium,"7,193.6",Fixed-wing,Large,G,E,D,D,,III,3,No,0,10,,,,,,,,,,,,,,,,,
AT45,AT45,ATR,ATR 42-500,ATR 42-500,Turboprop,2,B,,,III,2A,104,,,80.7,,74.4,24.9,28.8,28.8,15.0,"41,005","40,345",D,Medium,"7,193.8",Fixed-wing,Large,G,E,D,D,,III,3,Yes,14,"38,632",,,,,,,,,,,,,,,,,
AT46,AT46,ATR,ATR 42-600,ATR 42-600,Turboprop,2,B,,,III,2A,104,,,80.7,,74.4,24.9,28.8,28.8,15.7,"41,005","40,345",D,Medium,"7,193.6",Fixed-wing,Large,G,E,D,D,,III,3,No,0,"46,612",,,,,,,,,,,,,,,,,
AT5T,AT5T,AIR TRACTOR,Air Tractor AT-503,Air Tractor AT-502/503/504,Turboprop,1,A,,,II,1B,77,,,52.0,,27.0,10.3,30.5,24.8,11.0,"9,600","8,000",S,Light,"1,984.0",Fixed-wing,Small,I,F,F,F,,I,N/A,Yes,504,238,,,,,,,,,,,,,,,,,
AT6T,AT6T,AIR TRACTOR,AT-602 Air Tractor,Air Tractor AT-602,Turboprop,1,B,,,II,1B,92,,,56.0,,33.5,11.0,30.8,30.8,11.0,"12,500","12,000",S,Light,"2,541.0",Fixed-wing,Small,I,F,F,F,,I,N/A,Yes,238,2,,,,,,,,,,,,,,,,,
AT72,AT72,ATR,ATR-72-201/202,ATR 72-200,Turboprop,2,B,,,III,2A,114,,,88.8,,89.1,25.1,35.3,35.3,17.2,"47,400","47,068",D,Medium,"9,294.8",Fixed-wing,Large,G,E,D,D,,III,3,Yes,4,"80,491",,,,,,,,,,,,,,,,,
AT73,AT73,ATR,ATR 72-211/212,ATR 72-210,Turboprop,2,B,,,III,2A,109,,,88.7,,89.1,25.1,35.3,35.3,15.9,"47,399","47,068",D,Medium,"9,287.7",Fixed-wing,Large,G,E,D,D,,III,3,Yes,16,"11,018",,,,,,,,,,,,,,,,,
AT75,AT75,ATR,ATR-72-500,ATR 72-210A,Turboprop,2,B,,,III,2A,120,,,80.6,,89.1,25.1,35.3,35.3,17.2,"50,265","48,171",D,Medium,"8,525.5",Fixed-wing,Large,G,E,D,D,,III,3,Yes,3,"9,536",,,,,,,,,,,,,,,,,
AT76,AT76,ATR,ATR 72-600/212A,ATR 72-212A 600,Turboprop,2,B,,,III,1B,113,,,88.7,,89.1,25.1,35.3,35.3,13.4,"50,265","49,273",D,Medium,"9,287.7",Fixed-wing,Large,G,E,D,D,,III,3,Yes,17,"65,584",,,,,,,,,,,,,,,,,
AT8T,AT8T,AIR TRACTOR,Air Tractor AT-802,ATR AT-802,Turboprop,1,B,,,II,1B,103,,,59.3,,37.5,11.2,23.8,23.8,11.0,"16,000","16,000",S,Light/Medium,"2,943.1",Fixed-wing,Small+,H,F,E,E,,III,N/A,Yes,534,318,,,,,,,,,,,,,,,,,
B18T,B18T,BEECH,Beech 18 (Turbo),Volpar Turbo 18,Turboprop,2,A,,,I,2A,87,,,46.0,,44.3,9.6,30.0,30.0,19.2,"9,900","9,500",S,Light,"2,758.0",Fixed-wing,Small,I,F,F,F,,II,1,Yes,3,"1,226",,,,,,,,,,,,,,,,,
B190,B190,BEECH,Beech 1900/C-12J,Beech 1900D,Turboprop,2,B,B,C,II,2A,121,109,121,58.0,,57.7,15.4,23.8,23.8,19.2,"17,120","16,000",D,Medium,"4,261.6",Fixed-wing,Small+,H,F,E,E,,III,7,Yes,143,"426,733","AAC validated by Flight Standardization Board (FSB) report.  Verify with aircraft operator if they are using an approved Supplemental Type Certificate with a “Flaps Approach” or “Flaps 17” configuration during a Normal Landing; if so, and the aircraft has regular use, select AAC C.",,,,,,,,,,,,,,,,
B2,B2,NORTHROP,Northrop B-2 Spirit,Northrop B-2 Spirit,Jet,4,C,,,V,5,140,,,172.0,,69.0,17.0,43.2,43.2,47.4,"375,998",N/A,2D,Heavy,"13,468.0",Fixed-wing,Heavy,D,C,G,G,,III,N/A,Yes,21,"4,292",,,,,,,,,,,,,,,,,
B350,B350,BEECH,Beech Super King Air 350,Beechcraft Super King Air 350,Turboprop,2,B,,,II,2A,107,,,57.9,,46.7,14.3,16.3,16.3,17.2,"15,000","15,000",D,Light/Medium,"3,509.0",Fixed-wing,Small+,H,F,E,E,,III,7,Yes,"1,201","488,909",,,,,,,,,,,,,,,,,
B36T,B36T,ALLISON-BEECH,Allison 36 Turbine Bonanza,Beech Bonanza 36 Turbine,Piston,1,A,,,I,1A,73,,,33.5,,29.2,8.6,7.0,7.0,10.0,"3,650","3,650",S,Light,"1,487.7",Fixed-wing,Small,I,F,F,F,,I,1,Yes,110,"1,826",,,,,,,,,,,,,,,,,
B37M,B37M,BOEING,Boeing 737 MAX 7,Boeing 737 Max 7,Jet,2,D,C,D,III,3,145,140,145,117.8,,116.7,41.0,43.8,49.3,23.1,"177,000","145,600",D,Medium,"15,553.3",Fixed-wing,Large,F,D,D,C,,III,N/A,Yes,7,730,"Depending on flaps configuration and MALW, AAC could be C. AAC validated by Flight Standardization Board (FSB) report.",,,,,,,,,,,,,,,,
B38M,B38M,BOEING,Boeing 737 MAX 8,Boeing B737-8 Max,Jet,2,D,C,D,III,2B,145,140,145,117.8,,129.7,40.3,51.2,56.5,18.8,"181,200","152,800",D,Medium,"17,214.7",Fixed-wing,Large,F,D,D,C,,III,8,Yes,148,"857,529","Depending on flaps configuration and MALW, AAC could be C. AAC validated by Flight Standardization Board (FSB) report.",,,,,,,,,,,,,,,,
B39M,B39M,BOEING,Boeing 737 MAX 9,Boeing B737-9 Max,Jet,2,D,C,D,III,3,150,140,150,117.8,,138.3,40.8,56.3,62.1,23.1,"194,700","163,900",D,Medium,"18,313.7",Fixed-wing,Large,F,D,D,C,,III,8,Yes,53,"199,887","Depending on flaps configuration and MALW, AAC could be C. AAC validated by Flight Standardization Board (FSB) report.",,,,,,,,,,,,,,,,
B461,B461,BRITISH AEROSPACE,BAe 146-100,British Aerospace BAe 146-100 Statesman,Jet,4,C,,,III,2A,121,,,86.4,,85.9,28.3,36.8,36.8,18.0,"84,000","77,500",D,Medium,"8,766.5",Fixed-wing,Large,G,E,D,D,,III,7,Yes,2,522,,,,,,,,,,,,,,,,,
B462,B462,BRITISH AEROSPACE,BAe 146 -200,British Aerospace BAe 146-200,Jet,4,C,,,III,2A,122,,,86.4,,93.7,28.3,36.8,36.8,18.0,"93,000","8,100",D,Medium,"9,513.8",Fixed-wing,Large,G,E,D,D,,III,7,Yes,11,568,,,,,,,,,,,,,,,,,
B52,B52,BOEING,Boeing B-52 Stratofortress,Boeing B-52 Stratofortress,Jet,8,D,,,V,4,141,,,185.0,,160.9,40.8,49.2,81.4,16.3,"488,000",N/A,D2,Heavy,"32,350.5",Fixed-wing,Heavy,D,B,G,G,,III,N/A,Yes ,80,"9,641",,,,,,,,,,,,,,,,,
B703,B703,BOEING,Boeing 707-300,Boeing B707-300,Jet,4,C,,,IV,4,128,,,145.8,,152.9,42.1,59.0,68.4,25.0,"333,600","215,000",2D,Heavy,"24,603.9",Fixed-wing,Heavy,D,C,G,G,,III,9,Yes,9,"2,976",,,,,,,,,,,,,,,,,
B712,B712,BOEING,Boeing 717-200,Boeing B717-200,Jet,2,C,,,III,2B,139,,,93.3,,124.0,29.7,57.8,55.8,19.4,"118,000","100,000",D,Medium,"13,330.0",Fixed-wing,Large,F,D,D,C,,III,7,Yes,122,"501,367",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
B721,B721,BOEING,Boeing 727-100 (C-22),Boeing 727-100,Jet,2,C,,,III,3,124,,,108.0,,133.2,34.3,53.3,60.2,21.6,"160,000","140,000",D,Medium,"16,304.1",Fixed-wing,Large,F,D,D,C,,III,7,Yes,1,28,,,,,,,,,,,,,,,,,
B722,B722,BOEING,Boeing 727-200,Boeing B727-228 Adv,Jet,2,C,,,III,4,133,,,108.0,109.3,153.2,34.9,63.3,70.2,21.6,"184,800","150,000",D,Medium,"18,663.7",Fixed-wing,Large,F,D,D,C,,III,7,Yes,41,"15,444",,,,,,,,,,,,,,,,,
B732,B732,BOEING,Boeing 737-200/VC96,Boeing B737-200,Jet,2,C,,,III,3,129,,,93.0,,100.2,36.8,37.3,42.6,20.9,"115,500","103,000",D,Medium,"10,832.2",Fixed-wing,Large,F,D,D,C,,III,7,Yes,17,"38,748",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
B733,B733,BOEING,Boeing 737-300,Boeing B737-300,Jet,2,C,,,III,3,135,,,94.8,102.4,109.6,36.3,40.8,46.1,20.9,"139,500","115,800",D,Medium,"12,002.3",Fixed-wing,Large,F,D,D,C,,III,7,Yes,70,"128,528",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
B734,B734,BOEING,Boeing 737-400,Boeing B737-400E,Jet,2,C,,,III,3,139,,,94.8,,119.6,36.3,46.8,52.1,20.9,"150,000","123,700",D,Medium,"13,049.8",Fixed-wing,Large,F,D,D,C,,III,8,Yes,55,"128,278",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
B735,B735,BOEING,Boeing 737-500,Boeing B737-500,Jet,2,C,,,III,3,128,,,94.8,,101.8,36.3,36.3,41.6,20.9,"136,000","110,000",D,Medium,"11,182.1",Fixed-wing,Large,F,D,D,C,,III,7,Yes,22,"16,933",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
B736,B736,BOEING,Boeing 737-600,Boeing B737-600,Jet,2,C,,,III,3,125,,,112.6,117.4,102.5,41.7,36.8,42.1,22.9,"144,500","121,500",D,Medium,"13,177.4",Fixed-wing,Large,F,D,D,C,,III,7,Yes,6,"37,620",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
B737,B737,BOEING,Boeing 737-700,Boeing B737-700,Jet,2,C,,,III,3,130,,,112.6,117.4,110.3,41.6,41.3,46.6,22.9,"154,500","145,600",D,Medium,"14,137.2",Fixed-wing,Large,F,D,D,C,,III,8,Yes,633,"2,923,610",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
B738,B738,BOEING,Boeing 737-800,Boeing B737-800,Jet,2,D,C,D,III,3,144,140,144,112.6,117.4,129.5,41.4,51.2,56.4,23.0,"174,200","146,275",D,Medium,"16,487.0",Fixed-wing,Large,F,D,D,C,,III,8,Yes,971,"4,459,952","Depending on flaps configuration and MALW, AAC could be C. AAC validated by Flight Standardization Board (FSB) report.",,,,,,,,,,,,,,,,
B739,B739,BOEING,Boeing 737-900,Boeing B737-900ER,Jet,2,D,C,D,III,3,149,140,149,112.6,117.4,138.2,41.4,56.3,61.6,23.0,"187,700","71,400",D,Medium,"17,549.4",Fixed-wing,Large,F,D,D,C,,III,8,Yes,296,"1,420,859","Depending on flaps configuration and MALW, AAC could be C. AAC validated by Flight Standardization Board (FSB) report.",,,,,,,,,,,,,,,,
B741,B741,BOEING,Boeing 747-100,Boeing 747-100,Jet,4,D,,,V,5,144,,,195.7,,231.8,64.3,87.9,94.4,40.7,"750,000","585,000",2D/2D2,Heavy,"48,709.5",Fixed-wing,Heavy,D,B,G,G,,III,10,Yes,5,22,,,,,,,,,,,,,,,,,
B742,B742,BOEING,Boeing 747-200,Boeing B747-200,Jet,4,D,,,V,5,150,,,195.7,,231.8,64.7,87.9,94.4,40.7,"833,000","630,000",2D/2D2,Heavy,"48,708.8",Fixed-wing,Heavy,B,B,B,A,,III,10,Yes,13,"2,222",,,,,,,,,,,,,,,,,
B743,B743,BOEING,Boeing 747-300,Boeing B747-300,Jet,4,D,,,V,5,142,,,195.7,,231.8,64.3,87.9,94.4,40.7,"833,000","574,000",2D/2D2,Heavy,"48,709.5",Fixed-wing,Heavy,D,B,G,G,,III,10,No,0,10,,,,,,,,,,,,,,,,,
